code,date,tail_threshold_amount,tail_history_n_dates,tail_order_count,tail_committed_amount_share,submitted_pressure,cancellation_adjusted_pressure,executed_pressure,quantile_large_submitted_pressure,quantile_large_committed_pressure,quantile_large_executed_pressure,commitment_asymmetry,execution_conversion_asymmetry,price_net_flow_confirmation,indicative_path_return,signed_net_flow_amount,price_flow_direction_conflict,price_response_per_million_flow,price_path_grid_coverage,surprise__submitted_pressure,surprise__cancellation_adjusted_pressure,surprise__quantile_large_submitted_pressure,surprise__quantile_large_committed_pressure,surprise__commitment_asymmetry,surprise__execution_conversion_asymmetry,surprise__price_net_flow_confirmation,surprise__indicative_path_return
000713.SZ,2026-01-05,,0.0,0.0,0.0,-0.7392978328152789,-0.7437281331889088,0.007107042580220575,,,,-0.019329172436656106,0.06212564184250125,0.22564306382948737,0.00454545454545463,-14915228.9,1.0,0.0003047525838141395,1.0,,,,,,,,
000713.SZ,2026-01-06,,1.0,0.0,0.0,-0.7010588817509394,-0.7060918866070491,0.005817945924647216,,,,-0.019636172576081412,0.03391134468015189,0.0033535151524397237,0.0,-19110210.93,,0.0,1.0,,,,,,,,
000713.SZ,2026-01-07,,2.0,0.0,0.0,-0.5855078794954387,-0.6158562523627171,0.01668822154459487,,,,-0.08800980227926125,0.02129295674669477,-0.018647992218937388,0.004477611940298498,-1371501.2,1.0,0.0032647524772819983,1.0,,,,,,,,
000713.SZ,2026-01-08,,3.0,0.0,0.0,-0.7988886564072469,-0.8015350464760762,0.009022241474770714,,,,-0.014481145963429864,0.09091968530063875,-0.3150312364914738,0.11037891268533762,-19506798.6,1.0,0.005658484252015191,1.0,,,,,,,,
000713.SZ,2026-01-09,,4.0,0.0,0.0,-0.7307636793030828,-0.7387609383875127,0.009118864335244744,,,,-0.033754853453657585,0.10216794024253822,-0.13934960244590333,0.004477611940298498,-1461176.0,1.0,0.0030643891908267266,1.0,,,,,,,,
000713.SZ,2026-01-12,139923.3,5.0,35.0,0.5591176237368524,-0.6456535037909075,-0.6528217471841543,0.014278195488721805,-0.7872890452049413,-0.7872890452049413,,-0.024429708924568305,0.06904082633636519,-0.06333060845831134,-0.002949852507374673,-5769195.0,0.0,-0.0005113109380726707,1.0,0.08511017551217537,0.08593919120335836,,,-0.004793536348486893,0.006915184493863934,-0.04468261623937396,-0.007427464447673171
000713.SZ,2026-01-13,139972.8,6.0,39.0,0.517386868275024,-0.47288737687439175,-0.5015398907690135,0.011005033813089333,-0.4915607195384261,-0.5511900190137167,-0.0984917282302909,-0.07165052982262377,0.08984971209587718,0.021357788505581538,0.002941176470588225,-1126793.0,1.0,0.002610218975965962,1.0,0.2430239036526194,0.2208865217282674,,,-0.04961758907229891,0.024266478006443964,0.0623470888442059,-0.0015364354697102733
000713.SZ,2026-01-14,139962.89999999997,7.0,19.0,0.46126622846574755,-0.7237301348801369,-0.7235635100135049,0.018768695492412717,-0.8864525866150819,-0.8864525866150819,,0.0006993670487988046,0.09819566356240747,0.01125614365406619,-0.001468428781204123,-15996715.04,0.0,-9.179564538920681e-05,1.0,-0.02267125312919749,-0.017471623406455805,,,0.02512907597336711,0.029154837226042285,0.029904135873003578,-0.005946040721502621
000713.SZ,2026-01-15,138086.80000000016,8.0,39.0,0.607278726183621,-0.7446706846521389,-0.7714249431610644,0.009774153331954819,-0.8357831551058233,-0.8838166586268873,1.0,-0.11779992495203562,0.10629691905124147,-0.09902991569158746,0.0,-9919209.8,,0.0,1.0,-0.03227617633660074,-0.05659724485078732,,,-0.09576698420171076,0.026851649835120284,-0.09138267715833863,-0.0037093942054433615
000713.SZ,2026-01-16,138979.59999999998,9.0,30.0,0.5648382838080407,-0.7473123940495038,-0.7463618652253307,0.020068650831943313,-0.8231804290896544,-0.8231804290896544,,0.0042895346322811,0.044462912191501586,-0.16263897537280797,0.001468428781204123,-6700215.0,1.0,0.00021916144201401057,1.0,-0.023582259169366848,-0.022798355211825716,,,0.028719243556849405,-0.045386799904375594,-0.14399098315387057,-0.0014727476893841018
000713.SZ,2026-01-19,138080.0,10.0,29.0,0.5271762531376638,-0.8316616193815494,-0.8283532097465203,0.017146947789266107,-0.8821138744276072,-0.8792651139790494,1.0,0.02099678723129894,0.14776799327843282,0.10687486410352472,0.11803278688524599,-22362943.52,1.0,0.005278052362815283,1.0,-0.10441471228993948,-0.09719098554601147,-0.05893344533795286,-0.056084684889395,0.0430297279816238,0.06832272406231163,0.1478641644421491,0.11582798425934981
000713.SZ,2026-01-20,136000.0,11.0,26.0,0.5640716679668493,-0.7206405283869454,-0.7216112662581604,0.02754480862830939,-0.8324962824344128,-0.8324962824344128,-0.00014490653528474135,-0.003995155384800664,0.08823438246527776,-0.0234869078577881,0.0014513788098695635,-9374286.6,1.0,0.00015482552132227412,1.0,0.010123150916137469,0.017149672129352256,-0.0030144903366738918,0.018726489099939125,0.01564101719128075,-0.0016153296305994186,-0.004838915638850711,-0.0014897976607186614
000713.SZ,2026-01-21,134600.0,12.0,19.0,0.4659762721695902,-0.754479984302872,-0.7523660585305288,0.0028393620173907757,-0.8651547255607027,-0.8651547255607027,-1.0,0.00973108219872465,0.06330384644603021,0.07139463427304313,-0.0014471780028942893,-16332175.24,0.0,-8.860901757592215e-05,1.0,-0.027233077211262113,-0.021203834330020044,-0.03265844312628996,-0.03265844312628996,0.02921375470509341,-0.025738200834547253,0.09246208431140587,-0.0036519806287904633
000713.SZ,2026-01-22,128830.19999999985,13.0,32.0,0.5776476112330955,-0.8099024943274042,-0.8236491198487963,0.019439286715246636,-0.9167405776313784,-0.9167405776313784,1.0,-0.079052236448234,0.17370553343372921,0.17613519727988777,0.0014513788098695635,-9181082.0,1.0,0.0001580836343547967,1.0,-0.07913881502432141,-0.08488818146128363,-0.08260085886126034,-0.06791507363382066,-0.0597230640115779,0.08547115096845145,0.19478318949882517,-1.7049971334559544e-05
000713.SZ,2026-01-23,127879.30000000012,14.0,42.0,0.5848467448270925,-0.7106887796427764,-0.7119276720691635,0.020818237184759076,-0.7133046894734818,-0.7133046894734818,-1.0,-0.0049819168038736095,0.061403729783846055,,0.0,-6479045.08,,0.0,1.0,0.024341976416404454,0.02931686371904718,0.12247846563234155,0.15185003608722092,0.01450075570249515,-0.02763831749673141,,-0.0014599037955368432
000713.SZ,2026-01-26,128573.00000000015,15.0,31.0,0.5134177972701073,-0.8036769980921064,-0.8073121089546806,0.01091545063062596,-0.925321184393852,-0.925321184393852,-0.01647927884581367,-0.020365855251289755,0.07899909377630067,0.06197296001708609,0.004341534008683201,-20373656.779999997,1.0,0.00021309547203842653,1.0,-0.07291331878902352,-0.06855117056716797,-0.09118146562373397,-0.07649568039629429,-0.0010366828146336493,-0.009235288688977092,0.06962019855033492,0.0028901551988136376
000713.SZ,2026-01-27,126394.1500000002,16.0,29.0,0.5234907508260092,-0.8450407396203967,-0.8468803433688031,0.02010870968574896,-0.9304668016085365,-0.9304668016085365,,-0.012772370419827372,0.0721447899010902,,0.0,-22299484.64,,0.0,1.0,-0.11000998356121583,-0.10563580758059243,-0.0946836465027131,-0.06531207604783373,0.0067103020865413865,-0.011471948219699005,,-0.0014599037955368432
000713.SZ,2026-01-28,121754.09999999992,17.0,35.0,0.5556948696158074,-0.8350783324615595,-0.8525320929437545,0.02145587296140612,-0.9102099728064375,-0.9355091596067587,,-0.11385093203673757,0.09751474566976691,-0.08284879338724582,-0.030942334739803234,-23474801.74,0.0,-0.001318108458700104,1.0,-0.09578049964628055,-0.10880395975484569,-0.059741032473174416,-0.06329923983688268,-0.09452175960008147,0.01851565189346624,-0.08620230853968555,-0.0323937135496728
000713.SZ,2026-01-29,121622.79999999989,18.0,49.0,0.5349893029324174,-0.6804297207941523,-0.6838844191058249,0.029841778086053202,-0.8176383141997362,-0.8176383141997362,-1.0,-0.01276475064498328,0.15692188223405037,-0.0908805321830845,-0.0042613636363636465,-23184603.0,0.0,-0.0001838014494517531,1.0,0.061554537939556564,0.06116058010129488,0.047516411360966515,0.06162679977931318,0.0067179218613854785,0.07330514411326117,-0.08323329364983567,-0.00571274244623321
000713.SZ,2026-01-30,121746.29999999989,19.0,44.0,0.5678836715967849,-0.6687857703743624,-0.7263493285811351,0.012635901731893428,-0.7658790869165257,-0.8570997900626965,-0.43142087064836887,-0.19946305393252872,0.2087703551118101,-0.09989045837750386,0.0042613636363637575,-23907634.599999998,1.0,0.0001782427959796399,1.0,0.07051206244091657,0.017378804607773746,0.0845898534167373,0.01511012970717951,-0.18013388149587262,0.12053597264653235,-0.08124246615856648,0.002809984826494194
000713.SZ,2026-02-02,122035.5,20.0,79.0,0.4845515606427774,-0.5584062349625468,-0.5490422247568417,0.023484879491000067,-0.6741070905415211,-0.6599666165132266,-0.14725135513442383,0.026252561178187084,0.4048282707813375,0.04919944361435592,0.08132530120481918,-27430353.540000003,1.0,0.002964792308864139,1.0,0.17662452109663407,0.19220231103136898,0.16167606456430228,0.20518810904747609,0.04573523368455584,0.31578622350076,0.07026689365271867,0.07987392239494961
000713.SZ,2026-02-03,120956.99999999994,20.0,63.0,0.5694031632075309,-0.49240758357225767,-0.5006410959984456,0.01770333690108156,-0.5735972278719804,-0.5862059796804883,0.28911768289899076,-0.021285777284924645,0.24934668917080616,-0.08427941244681317,0.035661218424962726,-15994048.36,1.0,0.0022296555332511512,1.0,0.23483932351935222,0.23191403748587824,0.26054249089813764,0.27492127813121137,-0.004227118015169007,0.1589619904725482,-0.06321196240845042,0.03420983961509316
000713.SZ,2026-02-04,124875.0,20.0,98.0,0.6175514691699528,-0.472627567866246,-0.50851678423256,0.017444811691892232,-0.5497759691706894,-0.600619190243042,0.12438727623932534,-0.08899172327327809,0.19712674872272484,0.11607966863820879,0.011577424023154759,-27916875.599999998,1.0,0.00041471059258344606,1.0,0.2546193392253639,0.2240383492517639,0.2827203132637234,0.25648059981965454,-0.07156822266591828,0.10290953323752201,0.15948842679625852,0.010117520227617915
000713.SZ,2026-02-05,127879.29999999955,20.0,69.0,0.6364707057062942,-0.7266742274564633,-0.7418526269151833,0.011778306534347733,-0.8446839044156284,-0.8669731427055751,-0.11141357783823003,-0.06359235712537747,0.27839175247300985,0.11183524948543422,0.0,-28140522.4,,0.0,1.0,0.0005726796351466223,-0.009297493430859394,-0.016845548653594777,-0.022175106457020477,-0.046168856518017665,0.18053654785692266,0.15524400764348395,-0.0014599037955368432
000713.SZ,2026-02-06,134200.0,20.0,51.0,0.5855188177250668,-0.5762279450727795,-0.6042105377918556,0.017350164982352062,-0.6173649768368221,-0.656369779389587,0.13373230197993052,-0.08101025818635865,0.11901300332987777,-0.17289468428165636,0.001468428781204123,-7208126.0,1.0,0.00020371852284545514,1.0,0.14897423609552052,0.12834459569246826,0.21513130559759064,0.20073001067310958,-0.06018444191825145,0.018831201427404923,-0.1667793021797954,1.7049971334559544e-05
000713.SZ,2026-02-09,134596.0,20.0,44.0,0.6263458975852364,-0.7081086747263178,-0.709838978193718,0.004087113913703509,-0.8042270146276589,-0.8042270146276589,0.25959276059960346,-0.006878715754895515,0.11436279445883506,-0.06263450662524236,0.0029197080291971655,-21416248.0,1.0,0.00013633144466748,1.0,0.014076656907223373,0.015117441103602025,0.023611341134374686,0.040571021620895764,0.013947100513211685,0.012116503152010585,-0.05651912452338141,0.001468329219327602
000713.SZ,2026-02-10,135159.19999999984,20.0,33.0,0.510010547967071,-0.7385754921696683,-0.7332211979915056,0.02659402174364426,-0.9019449245624616,-0.9005050849861873,1.0,0.023088055253948747,0.03186472835759879,-0.1716672474042325,0.0,-18210621.58,,0.0,1.0,-0.016390160536127185,-0.008264778694185626,-0.07410656880042799,-0.05570704873763266,0.03965716808950731,-0.07846512839743947,-0.16555186530237154,-0.0014599037955368432
