threshold_type,threshold_label,threshold_value,auction_window,n_stock_days,n_dates,n_stocks,coverage_ratio,mean_large_order_count,median_large_order_count,mean_large_amount_share,median_large_amount_share,mean_abs_large_imbalance,imbalance_non_missing_ratio
fixed_amount,100k,100000.0,full,2520,63,40,1.0,58.785714285714285,34.0,0.5554064840281858,0.5571468497501149,0.4790346659747734,1.0
fixed_amount,300k,300000.0,full,2520,63,40,0.9698412698412698,16.346031746031745,8.0,0.31437566431764724,0.30539096380873954,0.5893654487819172,0.9698412698412698
fixed_amount,500k,500000.0,full,2520,63,40,0.8928571428571429,8.834126984126984,3.0,0.2213033031269547,0.2049981583714113,0.6734126458737711,0.8928571428571429
fixed_amount,1m,1000000.0,full,2520,63,40,0.6428571428571429,3.9198412698412697,1.0,0.12222445795210886,0.09469977827026509,0.7739515617453351,0.6428571428571429
fixed_amount,2m,2000000.0,full,2520,63,40,0.30634920634920637,1.7507936507936508,0.0,0.05306196617535368,0.0,0.8652078777538449,0.30634920634920637
fixed_amount,100k,100000.0,post920,2520,63,40,0.9821428571428571,23.11626984126984,10.0,0.5134148953890054,0.5299328440179002,0.52809069209571,0.9821428571428571
fixed_amount,300k,300000.0,post920,2520,63,40,0.7797619047619048,6.491269841269841,2.0,0.26110512562825794,0.2534639673528333,0.6754124731127082,0.7797619047619048
fixed_amount,500k,500000.0,post920,2520,63,40,0.5785714285714286,3.359920634920635,1.0,0.16736460501764483,0.12266378991212953,0.7382250275478885,0.5785714285714286
fixed_amount,1m,1000000.0,post920,2520,63,40,0.3119047619047619,1.2769841269841269,0.0,0.0800718068057661,0.0,0.8056851393991236,0.3119047619047619
fixed_amount,2m,2000000.0,post920,2520,63,40,0.1349206349206349,0.4083333333333333,0.0,0.03131810075184066,0.0,0.8654645261936688,0.1349206349206349
