timestamp,date,stamp,dtype,code,name,market,sum_volume,sum_amount,status,new_price,new_volume,new_amount,new_bid_volume,new_bid_amount,new_ask_volume,new_ask_amount,bp1,bp2,bp3,bp4,bp5,bp6,bp7,bp8,bp9,bp10,bv1,bv2,bv3,bv4,bv5,bv6,bv7,bv8,bv9,bv10,ap1,ap2,ap3,ap4,ap5,ap6,ap7,ap8,ap9,ap10,av1,av2,av3,av4,av5,av6,av7,av8,av9,av10,open,high,low,upper_limit,lower_limit,pre_close,close,pre_settle,settle,pre_open_interest,open_interest,multiple,price_step,list_date,expire_date,exercise_price,cp_flag,underlying_code,min_order_volume,interest,sum_bid_volume,sum_bid_amount,sum_ask_volume,sum_ask_amount
2026-03-11 15:00:00,20260311,150000000,1,000009.SZ,中国宝安,2,35100859,326085012.0,0,9.29,35100859,326085012.0,20082640,186609521.85,15018219,139475490.15,9.29,9.28,9.27,9.26,9.25,9.24,9.23,9.22,9.21,9.2,139800,181500,80400,78172,137700,22600,36500,53200,130800,118400,9.3,9.31,9.32,9.33,9.34,9.35,9.36,9.37,9.38,9.39,106900,122730,152800,227600,118000,285500,160600,157900,329000,557400,9.18,9.39,9.13,10.1,8.26,9.18,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,,0,0.0,20082640,186609522.51,15018219,139475489.49
2026-03-12 15:00:00,20260312,150000000,1,000009.SZ,中国宝安,2,24742202,227366309.0,0,9.19,24742202,227366309.0,9501565,87391674.03,15240637,139974634.97,9.18,9.17,9.16,9.15,9.14,9.13,9.12,9.11,9.1,9.09,124500,96500,152400,221000,238200,45800,109600,88600,213400,71100,9.19,9.2,9.21,9.22,9.23,9.24,9.25,9.26,9.27,9.28,33148,161200,48500,36400,114300,38200,161900,75800,46700,181400,9.28,9.28,9.11,10.22,8.36,9.29,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,,0,0.0,9501565,87391673.93,15240637,139974635.07
2026-03-13 15:00:00,20260313,150000000,1,000009.SZ,中国宝安,2,63733398,604637179.0,0,9.47,63733398,604637179.0,39546186,375205297.65,24187212,229431881.35,9.46,9.45,9.44,9.43,9.42,9.41,9.4,9.39,9.38,9.37,103700,144300,101100,82800,39000,43500,130200,45400,34700,20000,9.47,9.48,9.49,9.5,9.51,9.52,9.53,9.54,9.55,9.56,9500,44700,141300,113300,57000,133200,49500,27300,125200,42200,9.15,9.69,9.15,10.11,8.27,9.19,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,,0,0.0,39546186,375205296.49,24187212,229431882.51
2026-03-16 15:00:00,20260316,150000000,1,000009.SZ,中国宝安,2,34285345,322788160.0,0,9.38,34285345,322788160.0,14445442,136143007.28,19839903,186645152.72,9.38,9.37,9.36,9.35,9.34,9.33,9.32,9.31,9.3,9.29,154400,72016,93600,222600,231200,186300,150100,106000,292900,70300,9.39,9.4,9.41,9.42,9.43,9.44,9.45,9.46,9.47,9.48,18700,170600,28900,113300,31400,25500,61600,46600,64600,78100,9.55,9.59,9.33,10.42,8.52,9.47,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,,0,0.0,14445442,136143007.68,19839903,186645152.32
2026-03-17 15:00:00,20260317,150000000,1,000009.SZ,中国宝安,2,23559418,220053681.0,0,9.21,23559418,220053681.0,8462420,79150366.9,15096998,140903314.1,9.21,9.2,9.19,9.18,9.17,9.16,9.15,9.14,9.13,9.12,33900,104354,135800,168800,36100,39500,66800,3900,28400,4400,9.22,9.23,9.24,9.25,9.26,9.27,9.28,9.29,9.3,9.31,100660,83900,28100,28300,123300,12600,51100,6000,27000,9600,9.4,9.52,9.2,10.32,8.44,9.38,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,,0,0.0,8462420,79150366.62,15096998,140903314.38
2026-03-18 15:00:00,20260318,150000000,1,000009.SZ,中国宝安,2,25446210,230974870.0,0,9.06,25446210,230974870.0,9053809,82241358.91,16392401,148733511.09,9.05,9.04,9.03,9.02,9.01,9.0,8.99,8.98,8.97,8.96,126000,63500,87800,70100,64100,536800,188400,122900,76800,62600,9.06,9.07,9.08,9.09,9.1,9.11,9.12,9.13,9.14,9.15,5500,67700,97800,97200,136700,39400,42100,104700,43500,68400,9.22,9.25,8.99,10.13,8.29,9.21,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,,0,0.0,9053809,82241358.71,16392401,148733511.29
2026-03-19 15:00:00,20260319,150000000,1,000009.SZ,中国宝安,2,28044009,252378526.0,0,8.92,28044009,252378526.0,12874116,115996206.93,15169893,136382319.07,8.92,8.91,8.9,8.89,8.88,8.87,8.86,8.85,8.84,8.83,127400,22000,126600,176900,265600,37400,55300,79900,12400,22100,8.93,8.94,8.95,8.96,8.97,8.98,8.99,9.0,9.01,9.02,46300,16000,75200,83900,20000,12300,38400,38800,50700,30000,9.0,9.14,8.89,9.97,8.15,9.06,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,,0,0.0,12874116,115996206.73,15169893,136382319.27
2026-03-20 15:00:00,20260320,150000000,1,000009.SZ,中国宝安,2,29212754,262483502.0,0,8.89,29212754,262483502.0,14501708,130547324.07,14711046,131936177.93,8.89,8.88,8.87,8.86,8.85,8.84,8.83,8.82,8.81,8.8,19300,314600,91400,131000,83800,4900,17900,32300,85600,208900,8.9,8.91,8.92,8.93,8.94,8.95,8.96,8.97,8.98,8.99,101600,125440,131200,94800,32334,31500,97800,54700,38400,13500,8.96,9.14,8.87,9.81,8.03,8.92,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,,0,0.0,14501708,130547325.07,14711046,131936176.93
2026-03-23 15:00:00,20260323,150000000,1,000009.SZ,中国宝安,2,36240253,313564797.0,0,8.57,36240253,313564797.0,15894162,137760000.91,20346091,175804796.09,8.57,8.56,8.55,8.53,8.52,8.51,8.5,8.49,8.48,8.47,142544,23300,17600,18100,9400,27100,526271,121500,59500,18400,8.58,8.59,8.6,8.61,8.62,8.63,8.64,8.65,8.66,8.67,194300,41300,1100,3200,27368,29600,8000,20300,19900,24100,8.81,8.89,8.5,9.78,8.0,8.89,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,,0,0.0,15894162,137760000.87,20346091,175804796.13
2026-03-24 15:00:00,20260324,150000000,1,000009.SZ,中国宝安,2,27020306,232456939.0,0,8.74,27020306,232456939.0,14677834,126439545.65,12342472,106017393.35,8.74,8.73,8.72,8.71,8.7,8.69,8.68,8.67,8.66,8.65,85700,159440,179900,316700,86200,8500,24400,18700,10700,14800,8.75,8.76,8.77,8.78,8.79,8.8,8.81,8.82,8.83,8.84,306500,187100,54400,139557,99100,204400,57400,34300,25700,16600,8.7,8.75,8.4,9.43,7.71,8.57,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,,0,0.0,14677834,126439545.28,12342472,106017393.72
2026-03-25 15:00:00,20260325,150000000,1,000009.SZ,中国宝安,2,24094081,212235073.0,0,8.88,24094081,212235073.0,13111025,115538754.62,10983056,96696318.38,8.87,8.86,8.85,8.84,8.83,8.82,8.81,8.8,8.79,8.78,23900,37300,25300,16900,41900,55600,45600,69200,57800,54300,8.88,8.89,8.9,8.91,8.92,8.93,8.94,8.95,8.96,8.97,65256,104300,161600,111200,123200,142600,149300,139800,83900,57900,8.76,8.94,8.67,9.61,7.87,8.74,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,,0,0.0,13111025,115538755.22,10983056,96696317.78
2026-03-26 15:00:00,20260326,150000000,1,000009.SZ,中国宝安,2,24513404,219326651.0,0,8.87,24513404,219326651.0,12631228,113152677.12,11882176,106173973.88,8.87,8.86,8.85,8.84,8.83,8.82,8.81,8.8,8.79,8.78,23700,44700,101000,15600,38800,24900,49900,106900,8100,25100,8.88,8.89,8.9,8.91,8.92,8.93,8.94,8.95,8.96,8.97,8600,77800,132800,83200,75800,55854,68400,36800,20600,35000,8.87,9.07,8.8,9.77,7.99,8.88,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,,0,0.0,12631228,113152676.22,11882176,106173974.78
